Player,From,To,Pos,Ht,Wt,Birth.Date,Colleges,ID,full_link
Alaa Abdelnaby,1991,1995,F-C,10-Jun,240,24-Jun-68,Duke,abdelal01,https://www.basketball-reference.com/players/a/abdelal01.html
Zaid Abdul-Aziz,1969,1978,C-F,9-Jun,235,7-Apr-46,Iowa State,abdulza01,https://www.basketball-reference.com/players/a/abdulza01.html
Kareem Abdul-Jabbar*,1970,1989,C,2-Jul,225,16-Apr-47,UCLA,abdulka01,https://www.basketball-reference.com/players/a/abdulka01.html
Mahmoud Abdul-Rauf,1991,2001,G,1-Jun,162,9-Mar-69,LSU,abdulma02,https://www.basketball-reference.com/players/a/abdulma02.html
Tariq Abdul-Wahad,1998,2003,F,6-Jun,223,3-Nov-74,"Michigan, San Jose State",abdulta01,https://www.basketball-reference.com/players/a/abdulta01.html
Shareef Abdur-Rahim,1997,2008,F,9-Jun,225,11-Dec-76,California,abdursh01,https://www.basketball-reference.com/players/a/abdursh01.html
Tom Abernethy,1977,1981,F,7-Jun,220,6-May-54,Indiana,abernto01,https://www.basketball-reference.com/players/a/abernto01.html
Forest Able,1957,1957,G,3-Jun,180,27-Jul-32,Western Kentucky,ablefo01,https://www.basketball-reference.com/players/a/ablefo01.html
John Abramovic,1947,1948,F,3-Jun,195,9-Feb-19,Salem International University,abramjo01,https://www.basketball-reference.com/players/a/abramjo01.html
Álex Abrines,2017,2019,G-F,6-Jun,200,1-Aug-93,,abrinal01,https://www.basketball-reference.com/players/a/abrinal01.html
Precious Achiuwa,2021,2021,F,8-Jun,225,19-Sep-99,Memphis,achiupr01,https://www.basketball-reference.com/players/a/achiupr01.html
Alex Acker,2006,2009,G,5-Jun,185,21-Jan-83,Pepperdine,ackeral01,https://www.basketball-reference.com/players/a/ackeral01.html
Don Ackerman,1954,1954,G,Jun-00,183,4-Sep-30,Long Island University,ackerdo01,https://www.basketball-reference.com/players/a/ackerdo01.html
Mark Acres,1988,1993,F-C,11-Jun,220,15-Nov-62,Oral Roberts,acresma01,https://www.basketball-reference.com/players/a/acresma01.html
Bud Acton,1968,1968,F,6-Jun,210,11-Jan-42,Hillsdale College,actonbu01,https://www.basketball-reference.com/players/a/actonbu01.html
Quincy Acy,2013,2019,F-C,7-Jun,240,6-Oct-90,Baylor,acyqu01,https://www.basketball-reference.com/players/a/acyqu01.html
Alvan Adams,1976,1988,C-F,9-Jun,210,19-Jul-54,Oklahoma,adamsal01,https://www.basketball-reference.com/players/a/adamsal01.html
Don Adams,1971,1977,F,6-Jun,210,27-Nov-47,Northwestern,adamsdo01,https://www.basketball-reference.com/players/a/adamsdo01.html
George Adams,1973,1975,F-G,5-Jun,210,15-May-49,Gardner-Webb University,adamsge01,https://www.basketball-reference.com/players/a/adamsge01.html
Hassan Adams,2007,2009,G,4-Jun,220,20-Jun-84,Arizona,adamsha01,https://www.basketball-reference.com/players/a/adamsha01.html
Jaylen Adams,2019,2021,G,Jun-00,225,4-May-96,St. Bonaventure,adamsja01,https://www.basketball-reference.com/players/a/adamsja01.html
Jordan Adams,2015,2016,G,5-Jun,209,8-Jul-94,UCLA,adamsjo01,https://www.basketball-reference.com/players/a/adamsjo01.html
Michael Adams,1986,1996,G,10-May,162,19-Jan-63,Boston College,adamsmi01,https://www.basketball-reference.com/players/a/adamsmi01.html
Steven Adams,2014,2021,C,11-Jun,265,20-Jul-93,Pitt,adamsst01,https://www.basketball-reference.com/players/a/adamsst01.html
Rafael Addison,1987,1997,F-G,7-Jun,215,22-Jul-64,Syracuse,addisra01,https://www.basketball-reference.com/players/a/addisra01.html
Bam Adebayo,2018,2021,C-F,9-Jun,255,18-Jul-97,Kentucky,adebaba01,https://www.basketball-reference.com/players/a/adebaba01.html
