"Start","End","Age","Team","League","Position","G","MP","PER","True_Shooting_Percentage","three_point_attempt_rate","Free_throw_rate","Offensive_rebound_percentage","Defensive_rebound_percentage","Total_rebound_percentage","Assistant_percentage","Steal_percentage","Block_percentage","Turnover_percentage","UsaGE_percentage","Offensive_win_shares","Defensive_win_shares","win_shares","win_shares_per_48_minutes","Offensive_box_plus_minus","Defensive_box_plus_minus","Box_plus_minus","Value_over_replacement_player","Player","ID","Season"
"1990","91",22,"POR","NBA","PF",43,290,13.1,0.499,0,0.379,10.4,23.4,17,5.8,0.7,2.5,14,22.1,0,0.5,0.5,0.079,-3.4,-1.2,-4.6,-0.2,"Alaa Abdelnaby","abdelal01","1990-91"
"1991","92",23,"POR","NBA","PF",71,934,13.5,0.533,0,0.28,9.5,20.9,15.2,4.7,1.3,1.1,14,20.6,0.6,1.5,2.1,0.11,-2.3,-0.4,-2.6,-0.1,"Alaa Abdelnaby","abdelal01","1991-92"
"1992","93",24,"TOT","NBA","PF",75,1311,13.2,0.551,0.002,0.245,11,18.1,14.6,3,1,1.2,15.6,20.5,0.7,1.3,2,0.074,-2.4,-1.5,-3.9,-0.6,"Alaa Abdelnaby","abdelal01","1992-93"
"1992","93",24,"BOS","NBA","PF",63,1152,13.4,0.557,0,0.24,11.3,18.1,14.8,2.2,0.8,1.2,15.4,20.5,0.7,1.2,1.9,0.079,-2.3,-1.7,-4,-0.6,"Alaa Abdelnaby","abdelal01","1992-93"
"1994","95",26,"TOT","NBA","PF",54,506,12.6,0.519,0.009,0.152,8.7,17.4,13.1,5,1.5,1.8,15.4,25.6,-0.4,0.7,0.3,0.027,-4.4,0.1,-4.3,-0.3,"Alaa Abdelnaby","abdelal01","1994-95"
"1994","95",26,"SAC","NBA","PF",51,476,14.1,0.54,0.009,0.159,8.5,17.3,13,5.3,1.6,1.9,14.5,25.7,-0.1,0.7,0.6,0.058,-3.6,0.5,-3.1,-0.1,"Alaa Abdelnaby","abdelal01","1994-95"
"1984","85",37,"LAL","NBA","C",79,2630,22.9,0.628,0.001,0.327,7.7,18.2,13.5,13.1,1.1,3.3,12.5,24.3,7.6,3.6,11.2,0.204,3.9,1.2,5.1,4.8,"Kareem Abdul-Jabbar*","abdulka01","1984-85"
"1985","86",38,"LAL","NBA","C",79,2629,22.7,0.603,0.001,0.328,6,14.2,10.3,15.7,1.2,2.7,11.7,26.6,7.6,3.2,10.8,0.197,4.4,1,5.4,4.9,"Kareem Abdul-Jabbar*","abdulka01","1985-86"
"1986","87",39,"LAL","NBA","C",78,2441,17.9,0.597,0.003,0.345,7.4,15.8,11.9,11.6,0.9,2.2,14,22.1,4.5,3,7.5,0.148,1.4,0.1,1.6,2.2,"Kareem Abdul-Jabbar*","abdulka01","1986-87"
"1987","88",40,"LAL","NBA","C",80,2308,15.8,0.57,0.001,0.298,6.1,16.9,11.7,8.4,1,2.2,13.5,21.4,2.6,2.7,5.3,0.111,-0.1,0.1,0,1.2,"Kareem Abdul-Jabbar*","abdulka01","1987-88"
"1988","89",41,"LAL","NBA","C",74,1695,12.9,0.511,0.005,0.25,7.3,14.2,11,6.1,1.1,2.9,11.5,20.1,0.9,2,2.9,0.082,-1.9,-0.2,-2.1,0,"Kareem Abdul-Jabbar*","abdulka01","1988-89"
"1990","91",21,"DEN","NBA","PG",67,1505,12.2,0.448,0.099,0.097,1.9,6,3.8,19.2,1.5,0.1,9.5,27.2,-0.7,-0.3,-1,-0.031,-2,-3,-5,-1.1,"Mahmoud Abdul-Rauf","abdulma02","1990-91"
"1991","92",22,"DEN","NBA","PG",81,1538,12.6,0.469,0.111,0.128,1.5,6.8,4,21,1.4,0.2,11.6,26.7,-0.2,0.8,0.6,0.018,-1.2,-1.9,-3.1,-0.4,"Mahmoud Abdul-Rauf","abdulma02","1991-92"
"1992","93",23,"DEN","NBA","PG",81,2710,15.6,0.515,0.14,0.165,2,6.8,4.4,20.8,1.5,0.2,11,25.5,3,2.2,5.1,0.091,0.9,-1.1,-0.1,1.3,"Mahmoud Abdul-Rauf","abdulma02","1992-93"
"1993","94",24,"DEN","NBA","PG",80,2617,16.7,0.521,0.104,0.179,1.2,5.8,3.6,24.1,1.6,0.2,9.9,24.9,4.4,2.4,6.8,0.125,1.5,-0.7,0.8,1.9,"Mahmoud Abdul-Rauf","abdulma02","1993-94"
"1994","95",25,"DEN","NBA","PG",73,2082,17.8,0.543,0.214,0.155,1.9,5.9,3.9,23,1.9,0.3,10,25.8,3.8,1.3,5,0.115,2.3,-1.2,1.2,1.7,"Mahmoud Abdul-Rauf","abdulma02","1994-95"
"1995","96",26,"DEN","NBA","PG",57,2029,18.6,0.535,0.324,0.164,1.5,6.4,3.9,34.7,1.6,0.1,10.1,25.1,4.4,1.1,5.5,0.131,3.5,-1.6,1.9,1.9,"Mahmoud Abdul-Rauf","abdulma02","1995-96"
"1996","97",27,"SAC","NBA","PG",75,2131,13.2,0.524,0.266,0.147,0.9,5.9,3.3,15.8,1.4,0.2,10.8,23.2,2,0.7,2.7,0.06,-0.8,-1.8,-2.6,-0.4,"Mahmoud Abdul-Rauf","abdulma02","1996-97"
"1997","98",28,"SAC","NBA","PG",31,530,10.5,0.405,0.114,0.059,1.2,6.7,3.9,19.7,1.6,0.1,6.4,25.1,-0.5,0.2,-0.3,-0.025,-3.1,-1.5,-4.6,-0.4,"Mahmoud Abdul-Rauf","abdulma02","1997-98"
"2000","01",31,"VAN","NBA","PG",41,486,16.7,0.514,0.057,0.118,1.2,4.7,2.9,32.7,1,0.1,9.1,26.8,0.7,0,0.7,0.07,1.1,-2.1,-1,0.1,"Mahmoud Abdul-Rauf","abdulma02","2000-01"
"1997","98",23,"SAC","NBA","SG",59,959,10.1,0.456,0.053,0.35,5,8.6,6.7,8.9,1.9,0.9,13.6,22.1,-0.8,0.6,-0.2,-0.008,-3.6,-1.2,-4.8,-0.7,"Tariq Abdul-Wahad","abdulta01","1997-98"
"1998","99",24,"SAC","NBA","SG",49,1205,11.8,0.486,0.052,0.334,6.3,9.9,8.1,6.5,2.1,0.8,13,19,0.5,0.9,1.4,0.058,-2.5,-0.5,-3,-0.3,"Tariq Abdul-Wahad","abdulta01","1998-99"
"1999","00",25,"TOT","NBA","SG",61,1578,13.6,0.477,0.036,0.299,7,13.1,10,10,1.8,1.2,12.7,22.5,0.4,1.8,2.2,0.068,-1.2,-0.1,-1.2,0.3,"Tariq Abdul-Wahad","abdulta01","1999-00"
"1999","00",25,"ORL","NBA","SG",46,1205,14.4,0.484,0.041,0.293,7,14.6,10.8,9.7,2.2,0.9,13,23.3,0.4,1.6,2,0.082,-1,0.2,-0.8,0.4,"Tariq Abdul-Wahad","abdulta01","1999-00"
"2000","01",26,"DEN","NBA","SG",29,420,5.8,0.438,0.09,0.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,-0.7,0.3,-0.4,-0.049,-5.6,-0.3,-5.8,-0.4,"Tariq Abdul-Wahad","abdulta01","2000-01"
"2001","02",27,"TOT","NBA","SG",24,441,9.8,0.418,0.014,0.224,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,-0.3,0.3,0,-0.003,-3.4,-0.3,-3.7,-0.2,"Tariq Abdul-Wahad","abdulta01","2001-02"
"2001","02",27,"DEN","NBA","SG",20,417,10.3,0.424,0.014,0.221,10.2,11.2,10.7,8.7,2.3,1.6,13.1,19.7,-0.2,0.3,0,0.005,-3.1,-0.5,-3.6,-0.2,"Tariq Abdul-Wahad","abdulta01","2001-02"
"1996","97",20,"VAN","NBA","PF",80,2802,17.4,0.518,0.022,0.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,1.7,1.2,2.9,0.049,0.3,-2.1,-1.8,0.2,"Shareef Abdur-Rahim","abdursh01","1996-97"
"1997","98",21,"VAN","NBA","SF",82,2950,21.1,0.562,0.038,0.475,8.9,13.8,11.3,13.5,1.6,1.8,13.6,28.4,6.3,0.6,6.9,0.113,3.4,-1.8,1.6,2.6,"Shareef Abdur-Rahim","abdursh01","1997-98"
"1998","99",22,"VAN","NBA","SF",50,2021,20.7,0.53,0.04,0.492,6.5,15.4,10.9,17.6,1.8,2,14.6,28.9,3.7,0.9,4.6,0.108,2.9,-0.9,2,2.1,"Shareef Abdur-Rahim","abdursh01","1998-99"
"1999","00",23,"VAN","NBA","SF",82,3223,20.2,0.547,0.075,0.431,8,22.7,15.3,15.5,1.5,1.9,14.1,25,6.2,2.6,8.8,0.132,2.6,-0.4,2.2,3.4,"Shareef Abdur-Rahim","abdursh01","1999-00"
"2000","01",24,"VAN","NBA","SF",81,3241,19.1,0.549,0.05,0.415,6.2,19.6,13,14.3,1.5,1.6,13.2,24.6,5.6,2.9,8.5,0.126,1.7,0.1,1.8,3.1,"Shareef Abdur-Rahim","abdursh01","2000-01"
"2001","02",25,"ATL","NBA","PF",77,2980,19.8,0.536,0.054,0.403,7.6,19.2,13.3,15.1,1.7,2,14.1,27,4.1,3.1,7.2,0.116,1.9,-0.2,1.7,2.8,"Shareef Abdur-Rahim","abdursh01","2001-02"
"2002","03",26,"ATL","NBA","PF",81,3087,19.9,0.566,0.051,0.457,6.7,17.8,12.5,14.7,1.5,0.9,13,24.2,7.4,2.3,9.7,0.151,2.3,-0.7,1.6,2.8,"Shareef Abdur-Rahim","abdursh01","2002-03"
"2003","04",27,"TOT","NBA","PF",85,2684,19.9,0.557,0.032,0.407,8.2,19,13.6,12.3,1.4,1,12.9,24.4,6.1,2,8.1,0.145,2.3,-0.7,1.6,2.4,"Shareef Abdur-Rahim","abdursh01","2003-04"
"2003","04",27,"ATL","NBA","PF",53,1956,21.2,0.568,0.029,0.423,8.2,20.3,14.3,12.6,1.2,0.7,12.3,24.8,5.3,1.3,6.6,0.163,3.3,-1,2.3,2.1,"Shareef Abdur-Rahim","abdursh01","2003-04"
"2003","04",27,"POR","NBA","PF",32,728,16.5,0.522,0.042,0.36,7.9,15.5,11.8,11.5,1.8,1.8,14.8,23.3,0.9,0.6,1.5,0.098,-0.4,0,-0.4,0.3,"Shareef Abdur-Rahim","abdursh01","2003-04"
"2004","05",28,"POR","NBA","PF",54,1867,18.7,0.581,0.058,0.379,7.9,16,12.1,10.7,1.4,1,13,22.1,3.9,1.5,5.4,0.139,1.6,-0.6,0.9,1.4,"Shareef Abdur-Rahim","abdursh01","2004-05"
"2005","06",29,"SAC","NBA","PF",72,1961,17.2,0.588,0.035,0.44,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,4,2.2,6.2,0.152,0.5,0.4,0.9,1.4,"Shareef Abdur-Rahim","abdursh01","2005-06"
"2006","07",30,"SAC","NBA","C",80,2015,13.1,0.524,0.031,0.358,7,16.4,11.6,9.2,1.3,1.5,13.3,19.5,1.1,1.7,2.8,0.067,-2,-0.5,-2.5,-0.2,"Shareef Abdur-Rahim","abdursh01","2006-07"
"2016","17",23,"OKC","NBA","SG",68,1055,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.096,-1.3,-0.4,-1.6,0.1,"Álex Abrines","abrinal01","2016-17"
