"Start","End","Team","League","Salary","Player","ID","Season"
"1990","91","Portland Trail Blazers","NBA","$395,000","Alaa Abdelnaby","abdelal01","1990-91"
"1991","92","Portland Trail Blazers","NBA","$494,000","Alaa Abdelnaby","abdelal01","1991-92"
"1992","93","Boston Celtics","NBA","$500,000","Alaa Abdelnaby","abdelal01","1992-93"
"1993","94","Boston Celtics","NBA","$805,000","Alaa Abdelnaby","abdelal01","1993-94"
"1994","95","Sacramento Kings","NBA","$650,000","Alaa Abdelnaby","abdelal01","1994-95"
"1984","85","Los Angeles Lakers","NBA","$1,530,000","Kareem Abdul-Jabbar*","abdulka01","1984-85"
"1985","86","Los Angeles Lakers","NBA","$2,030,000","Kareem Abdul-Jabbar*","abdulka01","1985-86"
"1987","88","Los Angeles Lakers","NBA","$2,000,000","Kareem Abdul-Jabbar*","abdulka01","1987-88"
"1988","89","Los Angeles Lakers","NBA","$3,000,000","Kareem Abdul-Jabbar*","abdulka01","1988-89"
"1990","91","Denver Nuggets","NBA","$1,660,000","Mahmoud Abdul-Rauf","abdulma02","1990-91"
"1991","92","Denver Nuggets","NBA","$2,008,000","Mahmoud Abdul-Rauf","abdulma02","1991-92"
"1992","93","Denver Nuggets","NBA","$2,358,000","Mahmoud Abdul-Rauf","abdulma02","1992-93"
"1993","94","Denver Nuggets","NBA","$1,825,000","Mahmoud Abdul-Rauf","abdulma02","1993-94"
"1994","95","Denver Nuggets","NBA","$2,200,000","Mahmoud Abdul-Rauf","abdulma02","1994-95"
"1995","96","Denver Nuggets","NBA","$2,600,000","Mahmoud Abdul-Rauf","abdulma02","1995-96"
"1996","97","Sacramento Kings","NBA","$3,100,000","Mahmoud Abdul-Rauf","abdulma02","1996-97"
"1997","98","Sacramento Kings","NBA","$3,300,000","Mahmoud Abdul-Rauf","abdulma02","1997-98"
"2000","01","Vancouver Grizzlies","NBA","$798,500","Mahmoud Abdul-Rauf","abdulma02","2000-01"
"1997","98","Sacramento Kings","NBA","$1,226,880","Tariq Abdul-Wahad","abdulta01","1997-98"
"1998","99","Sacramento Kings","NBA","$1,411,000","Tariq Abdul-Wahad","abdulta01","1998-99"
"1999","00","Denver Nuggets","NBA","$1,594,920","Tariq Abdul-Wahad","abdulta01","1999-00"
"2000","01","Denver Nuggets","NBA","$4,500,000","Tariq Abdul-Wahad","abdulta01","2000-01"
